"last_name","first_name","hire_date"
"Aamodt","Somnath","1/15/1986"
"Aamodt","Mahmut","4/10/1986"
"Aamodt","Danco","10/10/1986"
"Aamodt","Fatemeh","5/7/1986"
"Aamodt","Huican","12/12/1986"
"Aamodt","Theron","3/16/1986"
"Aamodt","Dietrich","12/7/1986"
"Aamodt","Foong","6/28/1986"
"Aamodt","Qingxiang","3/5/1986"
"Aamodt","Arumugam","1/9/1986"
"Aamodt","Shmuel","5/27/1986"
"Aamodt","Valeri","7/28/1986"
"Aamodt","Arvind","11/20/1986"
"Aamodt","Moto","5/29/1986"
"Aamodt","Salvador","3/16/1986"
"Aamodt","Luise","7/27/1986"
"Aamodt","Parke","11/4/1986"
"Aamodt","Kazuhito","12/2/1986"
"Aamodt","Jaideep","7/16/1986"
"Aamodt","Menkae","2/7/1986"
"Aamodt","Marek","1/31/1986"
"Aamodt","Basant","12/25/1986"
"Aamodt","Maik","6/20/1986"
"Aamodt","Rajmohan","5/22/1986"
"Aamodt","Elzbieta","4/29/1986"
"Acton","Jixiang","4/24/1986"
"Acton","Piyawadee","1/13/1986"
"Acton","Margo","7/25/1986"
"Acton","Kensei","5/20/1986"
"Acton","Honesty","12/22/1986"
