"emp_no","dept_no","emp_no-2","last_name","first_name","dept_name"
"111784","d009","111784","Giarratana","Marjo","Customer Service"
"111692","d009","111692","Butterworth","Tonny","Customer Service"
"111939","d009","111939","Weedman","Yuchang","Customer Service"
"111877","d009","111877","Spinelli","Xiaobin","Customer Service"
"emp_no","dept_no","emp_no","last_name","first_name","dept_name"
"110567","d005","110567","DasSarma","Leon","Development"
"110511","d005","110511","Hagimont","DeForest","Development"
"110085","d002","110085","Alpin","Ebru","Finance"
"110114","d002","110114","Legleitner","Isamu","Finance"
"110183","d003","110183","Ossenbruggen","Shirish","Human Resources"
"110228","d003","110228","Sigstam","Karsten","Human Resources"
"110039","d001","110039","Minakawa","Vishwani","Marketing"
"110022","d001","110022","Markovitch","Margareta","Marketing"
"110303","d004","110303","Wegerle","Krassimir","Production"
"110386","d004","110386","Kieras","Shem","Production"
"110420","d004","110420","Ghazalie","Oscar","Production"
"110344","d004","110344","Cools","Rosine","Production"
"110854","d006","110854","Pesch","Dung","Quality Management"
"110800","d006","110800","Quadeer","Sanjoy","Quality Management"
"110765","d006","110765","Hofmeyr","Rutger","Quality Management"
"110725","d006","110725","Onuegbe","Peternela","Quality Management"
"111400","d008","111400","Staelin","Arie","Research"
"111534","d008","111534","Kambil","Hilary","Research"
"111035","d007","111035","Kaelbling","Przemyslawa","Sales"
"111133","d007","111133","Zhang","Hauke","Sales"
