"dept_no","emp_no","last_name","first_name","dept_name"
"d004","88414","Aamodt","Ashish","Production"
"d007","240207","Aamodt","Jiann","Sales"
"d004","474768","Aamodt","Valeri","Production"
"d007","290839","Aamodt","Guoxiang","Sales"
"d009","290839","Aamodt","Guoxiang","Customer Service"
"d007","71936","Aamodt","Kish","Sales"
"d005","489837","Aamodt","Tzvetan","Development"
"d004","90035","Aamodt","Georgi","Production"
"d007","67277","Aamodt","Teiji","Sales"
"d009","29182","Aamodt","Arumugam","Customer Service"
"d005","467226","Aamodt","Goa","Development"
"d005","76475","Aamodt","Theirry","Development"
"d004","17885","Aamodt","Takanari","Production"
"d002","43290","Aamodt","Yakkov","Finance"
"d003","228144","Aamodt","Vasilis","Human Resources"
"d006","467226","Aamodt","Goa","Quality Management"
"d005","439427","Aamodt","Masamitsu","Development"
"d008","52791","Aamodt","Khatoun","Research"
"d005","489981","Aamodt","Edwin","Development"
"d003","64157","Aamodt","Geraldo","Human Resources"
"d004","227725","Aamodt","Peternela","Production"
"d005","53390","Aamodt","Dmitry","Development"
"d008","470525","Aamodt","Geoffry","Research"
"d005","100916","Aamodt","Heejo","Development"
"d004","492771","Aamodt","Odoardo","Production"
"d007","408779","Aamodt","Tamiya","Sales"
"d007","422538","Aamodt","Matk","Sales"
"d006","35101","Aamodt","Christ","Quality Management"
"d007","257214","Aamodt","Kaijung","Sales"
"d007","203802","Aamodt","Berry","Sales"
