"emp_no","last_name","first_name","dept_name"
"265157","Aamodt","Narain","Sales"
"492546","Aamodt","Elzbieta","Sales"
"61219","Aamodt","Chuanyi","Sales"
"260324","Aamodt","Salvador","Sales"
"408779","Aamodt","Tamiya","Sales"
"422538","Aamodt","Matk","Sales"
"271789","Aamodt","Valeri","Sales"
"275120","Aamodt","Jaideep","Sales"
"417814","Aamodt","Yechiam","Sales"
"294575","Aamodt","Parke","Sales"
"244014","Aamodt","Rimli","Sales"
"233941","Aamodt","Hairong","Sales"
"203606","Aamodt","Lenore","Sales"
"493102","Aamodt","Srinidhi","Sales"
"240207","Aamodt","Jiann","Sales"
"290839","Aamodt","Guoxiang","Sales"
"443223","Aamodt","Karlis","Sales"
"221023","Aamodt","Shan","Sales"
"43174","Aamodt","Mariusz","Sales"
"297498","Aamodt","Lenore","Sales"
"428594","Aamodt","Breannda","Sales"
"42706","Aamodt","Khalid","Sales"
"203802","Aamodt","Berry","Sales"
"257214","Aamodt","Kaijung","Sales"
"36585","Aamodt","Menkae","Sales"
"280448","Aamodt","Theron","Sales"
"283857","Aamodt","Weiru","Sales"
"19898","Aamodt","Vidar","Sales"
"103125","Aamodt","Huican","Sales"
"105020","Aamodt","Mostafa","Sales"
